index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
0,Data Scientist,$81K - $134K (Glassdoor est.),3.5,HPOne,"Trumbull, CT",501 to 1000 Employees,2006,Insurance Carriers,Insurance Carriers,$50 to $100 million (USD),Company - Private
1,Data Scientist,$71K - $123K (Glassdoor est.),4.2,Polypore International,"Charlotte, NC",1001 to 5000 Employees,2004,Electrical & Electronic Manufacturing,Electrical & Electronic Manufacturing,$500 million to $1 billion (USD),Company - Private
2,"Data Scientist 1, People Analytics (remote position)",$62K - $123K (Glassdoor est.),3.7,Nordstrom Inc,"Seattle, WA",10000+ Employees,1901,"Department, Clothing, & Shoe Stores","Department, Clothing, & Shoe Stores",$10+ billion (USD),Company - Public
3,Senior Data Scientist,$150K (Employer est.),3.0,Innovative Precision Health,Remote,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
4,,$50 - $90 Per Hour(Employer est.),-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
5,Data Scientist,$150K (Employer est.),4.3,American Capital Group,"Bellevue, WA",51 to 200 Employees,1986,Real Estate,Real Estate,Unknown / Non-Applicable,Company - Private
6,Data Scientist,$100K - $125K (Employer est.),4.5,Sightly,Remote,1 to 50 Employees,Company - Public,Business Services,Business Services,-1,Advertising & Marketing
7,Data Scientist,$35 - $75 Per Hour(Employer est.),-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
8,Data Scientist,$80K - $100K (Employer est.),4.0,"Continental Finance Company, LLC","Wilmington, DE",51 to 200 Employees,2005,Lending,Lending,$5 to $10 million (USD),Company - Private
9,Data Scientist,-1,4.8,Density Inc.,Remote,1 to 50 Employees,2014,Internet,Internet,Unknown / Non-Applicable,Company - Private
10,Data Scientist,-1,-1,Orion Solutions Group,"Detroit, MI",-1,-1,-1,-1,-1,-1
11,Data Scientist,$145K - $175K (Employer est.),-1,EpochGeo,"Reston, VA",-1,-1,-1,-1,-1,-1
12,Data Scientist I - 637,-1,-1,"O'Neil Global Advisors, Inc.","Austin, TX",-1,-1,-1,-1,-1,-1
13,Data Scientist/ Engineer,-1,-1,BlueChew,"Chicago, IL",-1,-1,-1,-1,-1,-1
14,Data Engineer,$65K - $109K (Glassdoor est.),4.5,Systems Engineering Solutions Corporation,"Chantilly, VA",51 to 200 Employees,Company - Public,Information Technology,Information Technology,-1,IT Services
15,Data Scientist,$100K - $125K (Employer est.),-1,"VoltaGrid, LLC",Remote,-1,-1,-1,-1,-1,-1
16,Data Scientist,$66K - $112K (Glassdoor est.),4.1,The Ohio State University,"Columbus, OH",10000+ Employees,1870,Colleges & Universities,Colleges & Universities,$5 to $10 billion (USD),College / University
17,Data Scientist,$74K - $143K (Glassdoor est.),3.9,Strategic Financial Solutions,"New York, NY",501 to 1000 Employees,2007,Consumer Product Rental,Consumer Product Rental,Unknown / Non-Applicable,Company - Private
18,Statistician,$24 - $30 Per Hour(Employer est.),-1,"Psychology Software Tools, Inc","Sharpsburg, PA",-1,-1,-1,-1,-1,-1
19,Data Scientist,$92K - $149K (Glassdoor est.),3.7,Betacom,"Bellevue, WA",201 to 500 Employees,1991,Telecommunications Services,Telecommunications Services,$100 to $500 million (USD),Company - Private
20,Senior Data Scientist [WFH],$100K - $150K (Employer est.),-1,Hyphen,Remote,-1,-1,-1,-1,-1,-1
