index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
0,Clinical Practice Data Analyst Coordinator,$68K (Employer est.),3.3,SIU Medicine,"Springfield, IL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
1,Epic Application Analyst – Multiple Applications (Remote within Oregon),$27 - $78 Per Hour(Employer est.),3.7,Samaritan Health Services,Oregon,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
2,Behavior Analyst ($2000 Sign-On Bonus),-1,3.0,New Story Schools,"Monroeville, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
3,Business Systems Analyst II - ERP,-1,2.8,American Textile Company,"Duquesne, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
4,Epic Expected Reimbursement Contract Analyst (Physicians side) -100% Remote - 3 Openings,-1,4.5,Medical Specialties Managers (MSM),,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
5,"Analyst, Market Research",$50K - $81K (Employer est.),4.1,Florida Virtual School,"Orlando, FL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
6,Business Analyst,$60K (Employer est.),3.3,The DDS Companies,"Canonsburg, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
7,Data Analyst,-1,4.8,Doximity,New York State,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
8,LiDAR Analyst,$44K - $82K (Glassdoor est.),4.7,"Stahl Sheaffer Engineering, LLC","Pittsburgh, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
9,Portfolio Investment Analyst,$200K - $250K (Employer est.),-1,Prosperity Life Group,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
10,Data Analyst,$60K - $110K (Employer est.),-1,"Battea - Class Action Services, LLC","Stamford, CT",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
11,Data Analyst,$70K - $75K (Employer est.),-1,Iontra LLC,"Denver, CO",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
12,SEO Intelligence Analyst,$75K - $80K (Employer est.),-1,Local SEO Guide,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
13,"Category I, II, III, IV Vibration Analyst",$35K - $140K (Employer est.),-1,Confidential,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
14,Financial Analyst/Trader,$55K - $65K (Employer est.),-1,Condor Capital Management,"Martinsville, NJ",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
15,Business Analyst ( REMOTE),$47K - $112K (Glassdoor est.),3.2,Knowledge Services,"Augusta, ME",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
16,Population Health Analyst / DHMSM,-1,3.9,Leidos,"Vienna, VA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
17,Business Intelligence Analyst,$70K - $92K (Employer est.),-1,"OTR Wheel Engineering, Inc.","Cartersville, GA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
18,Workforce Planning Analyst (Remote),-1,3.7,Guardian Life Insurance Company,"Bethlehem, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
19,Assoc All Source Analyst,$46K - $91K (Glassdoor est.),3.8,BAE Systems,"McLean, VA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
20,Counterterrorism Watchlist Analyst (Mid-Level),$64K - $127K (Glassdoor est.),3.8,BAE Systems,"McLean, VA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
21,Data Analyst (SME) - REMOTE (Secret clearance Required),$135K - $150K (Employer est.),-1,Phoenix Resourcing Group,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
22,Business Data Analyst,$104K - $153K (Employer est.),3.6,Constellation Inc,"Washington, DC",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
23,Help Desk Analyst,$24 - $28 Per Hour(Employer est.),-1,Sigma Resources,"Pittsburgh, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
24,Power BI/Data Analyst,$60K - $130K (Employer est.),3.1,Automotive Group,United States,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
25,"Business Intelligence Analyst, Strategic Partnerships",$60K - $122K (Glassdoor est.),4.0,Memorial Sloan Kettering Cancer Center,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
26,"Senior Data Analyst - (Remote, US)",-1,4.0,AM LLC,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
27,Data Analyst,$60 - $65 Per Hour(Employer est.),3.8,"CGI Group, Inc.","Dallas, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
28,Paralegal/Data Analyst,$54K - $122K (Employer est.),-1,"Kalijarvi, Chuzi, Newman & Fitch, P.C.","Washington, DC",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
