index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
0,Software Engineer II - NodeJS,$59K - $120K (Glassdoor est.),3.2,"7-Eleven, Inc.","Irving, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
1,"Manager, Software Engineer",$69K - $134K (Glassdoor est.),3.2,"7-Eleven, Inc.","Irving, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
2,Software Integration Engineer,$120K - $160K (Employer est.),3.6,DCI Solutions,"Hanover, MD",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
3,Sr. Software Engineer,$115K - $140K (Employer est.),2.8,"The GEO Group, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
4,Senior Software Engineer,$90K - $150K (Employer est.),-1,Expedition Co.,,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
5,"Senior Software Engineer, Backend",-1,4.1,Sketchy Group LLC,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
6,Software Engineer,$81K - $127K (Glassdoor est.),4.3,Applied Information Sciences,"Reston, VA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
7,Java Software Engineer,$97K - $108K (Employer est.),-1,Reyk Tech Inc.,"New York, NY",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
8,Software Engineer (U.S. CITIZENS ONLY),$130K - $150K (Employer est.),-1,"DataHaven Solutions, Inc","Linthicum Heights, MD",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
9,"Senior Software Engineer (Backend) - Remote, US & Canada",$84K - $160K (Glassdoor est.),4.3,Autodesk,"Portland, OR",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
10,Software Engineer,$99K - $188K (Employer est.),-1,"Tableau Software, LLC","Seattle, WA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
11,Senior C++ Software Engineer- Remote Opportunity (US Only),-1,4.5,Wolverine Trading,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
12,Software Engineer,$65K - $95K (Employer est.),3.4,Berkley Technology Services,"Urbandale, IA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
13,Software Engineer,$120K (Employer est.),-1,"Medicom Technologies, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
14,Sr. Software Development Engineer (Salary-Paid Weekly),$90K - $107K (Employer est.),3.3,American Furniture Warehouse,"Englewood, CO",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
15,Software Engineer,$65K - $157K (Employer est.),-1,Code Corporation,"Acton, MA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
16,Senior Software Engineer UI/WPF/C#,$147K - $195K (Employer est.),-1,Noah Medical,"San Carlos, CA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
17,Software Engineer ( Senior - Level),$75K - $95K (Employer est.),4.0,"Powur, PBC",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
18,Sr. Software Engineer (Remote),-1,4.4,CentralReach,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
19,"Software Engineer (JCL, COBOL, SQL )",$63K - $136K (Glassdoor est.),3.8,Larsen & Toubro Infotech Limited,"Hartford, CT",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
20,Software Verification & Validation Engineer 1,$62K - $106K (Glassdoor est.),3.9,Hologic,"San Diego, CA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
21,"Junior Software Developer, Web Applications",$60K - $116K (Glassdoor est.),3.3,STRATACACHE,"Dayton, OH",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
22,Senior Software Engineer,$97K - $140K (Employer est.),-1,"240 Tutoring, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
23,Software Engineer,$90K - $150K (Employer est.),-1,"NovoDynamics, Inc.","Detroit, MI",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
24,Software Engineer,$140K - $170K (Employer est.),3.6,DCI Solutions,"Herndon, VA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
25,Software Engineer - All Levels,$59K - $115K (Glassdoor est.),4.7,"Ironclad, Inc.","Indianapolis, IN",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
26,Senior Software Engineer,$140K - $165K (Employer est.),-1,Dwell,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
27,Senior Software Engineer (Remote),$175K - $200K (Employer est.),-1,VinoShipper,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
28,Software Engineer,-1,-1,"Intelon Optics, Inc.","Lexington, MA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
29,Software Engineer II,$90K (Employer est.),-1,Technical Systems Inc,"Lynnwood, WA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
